Event	Depth sed [m]	Age [ka BP]	Brassicasterol/sed [µg/g]	Brassicasterol/TOC [µg/g]	Acc rate brassicasterol [µg/cm**2/ka]	Campesterol/sed [µg/g]	Campesterol/TOC [µg/g]	Acc rate campesterol [µg/cm**2/ka]	b-Sitosterol/sed [µg/g]	b-Sitosterol/TOC [µg/g]	Acc rate b-sitosterol [µg/cm**2/ka]	Dinosterol/sed [µg/g]	Dinosterol/TOC [µg/g]	Acc rate dinosterol [µg/cm**2/ka]
PS93/025-2	0.40	1.1499	0.0114	1.6072	0.6229	0.0071	0.9988	0.3871	0.0158	2.2258	0.8627	0.0305	4.2923	1.6636
PS93/025-2	0.43	1.2793	0.0239	3.0746	0.8441	0.0177	2.2716	0.6236	0.0509	6.5447	1.7968	0.0707	9.0912	2.4959
PS93/025-2	0.45	1.3637	0.0133	1.6917	0.5180	0.0074	0.9359	0.2866	0.0241	3.0567	0.9360	0.0311	3.9363	1.2054
PS93/025-2	0.47	1.4441	0.0116	1.7225	0.4186	0.0110	1.6343	0.3972	0.0272	4.0287	0.9792	0.0360	5.3294	1.2953
PS93/025-2	0.50	1.5753	0.0210	3.2340	0.7720	0.0151	2.3149	0.5526	0.0354	5.4394	1.2985	0.0479	7.3638	1.7578
PS93/025-2	0.52	1.6605	0.0090	1.1921	0.3400	0.0076	1.0034	0.2862	0.0184	2.4239	0.6913	0.0253	3.3367	0.9515
PS93/025-2	0.53	1.7006	0.0101	1.3969	0.3615	0.0109	1.5167	0.3925	0.0222	3.0901	0.7998	0.0274	3.8056	0.9849
PS93/025-2	0.54	1.7431	0.0119	1.5445	0.4068	0.0122	1.5911	0.4191	0.0266	3.4703	0.9141	0.0381	4.9607	1.3067
PS93/025-2	0.55	1.7875	0.0138	1.8904	0.4787	0.0103	1.4157	0.3585	0.0288	3.9455	0.9991	0.0350	4.8069	1.2172
PS93/025-2	0.56	1.8313	0.0119	1.7987	0.4661	0.0075	1.1248	0.2914	0.0163	2.4616	0.6378	0.0315	4.7401	1.2282
PS93/025-2	0.57	1.8701	0.0124	1.6840	0.4675	0.0092	1.2407	0.3445	0.0278	3.7659	1.0456	0.0360	4.8803	1.3550
PS93/025-2	0.58	1.9105	0.0143	2.0451	0.5871	0.0096	1.3648	0.3918	0.0231	3.3003	0.9475	0.0289	4.1196	1.1827
PS93/025-2	0.60	1.9919	0.0115	1.7270	0.4204	0.0086	1.2924	0.3146	0.0246	3.6882	0.8978	0.0400	6.0058	1.4620
PS93/025-2	0.63	2.1171	0.0130	1.8099	0.4705	0.0080	1.1156	0.2900	0.0217	3.0168	0.7842	0.0331	4.5968	1.1949
PS93/025-2	0.64	2.1592	0.0086	1.2728	0.3393	0.0051	0.7498	0.1999	0.0154	2.2737	0.6061	0.0228	3.3545	0.8942
PS93/025-2	0.65	2.1983	0.0102	1.4330	0.3680	0.0051	0.7214	0.1853	0.0142	1.9859	0.5100	0.0188	2.6396	0.6778
PS93/025-2	0.66	2.2404	0.0083	1.1476	0.3260	0.0069	0.9602	0.2728	0.0168	2.3195	0.6590	0.0225	3.1158	0.8852
PS93/025-2	0.67	2.2787	0.0112	1.4899	0.3863	0.0057	0.7621	0.1976	0.0186	2.4841	0.6440	0.0333	4.4436	1.1521
PS93/025-2	0.68	2.3223	0.0089	1.2577	0.4021	0.0063	0.8948	0.2861	0.0178	2.5272	0.8081	0.0424	6.0139	1.9229
PS93/025-2	0.70	2.3989	0.0047	0.6730	0.1785	0.0031	0.4443	0.1178	0.0130	1.8371	0.4872	0.0210	2.9749	0.7889
